Code	Product label	Exported value in 2009	Exported value in 2010	Exported value in 2011	Exported value in 2012	Exported value in 2013	Exported value in 2014	Exported value in 2015	Exported value in 2016	Exported value in 2017	Exported value in 2018	Exported value in 2019	Exported value in 2020	Exporter
37	Photographic or cinematographic goods	805872	1072934	1174378	1211128	1217757	1192484	1184862	1074206	1083473	1131340	1105578	933929	China
53	Other vegetable textile fibres; paper yarn and woven fabrics of paper yarn	592821	869564	1131311	1068299	1285328	1486329	1568380	1054693	1056902	1398649	1368277	919007	China
24	Tobacco and manufactured tobacco substitutes	878107	1020302	1140509	1261902	1321735	1283912	1351466	1376375	1326671	1405547	1420818	778752	China
36	Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations	650679	651534	779889	859726	901511	983577	946930	822388	824449	996809	898075	726459	China
02	Meat and edible meat offal	763950	994591	1075432	980500	988524	1181933	1057537	902452	916721	867132	840989	710776	China
97	Works of art, collectors' pieces and antiques	50489	160487	374777	534303	1041022	597460	593839	419344	139898	197293	744839	694942	China
11	Products of the milling industry; malt; starches; inulin; wheat gluten	465762	552271	587060	602329	610519	612292	593602	565826	574494	791928	838820	692380	China
41	Raw hides and skins (other than furskins) and leather	241579	411728	452789	445187	466067	563330	666599	634736	619070	636252	705398	644474	China
01	Live animals	441833	453963	570798	582866	580625	585572	597731	646748	561541	544086	509746	599665	China
04	Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere ...	340324	404553	498648	533947	544779	586072	604177	589474	588280	589534	560915	576996	China
75	Nickel and articles thereof	659414	1298595	1053605	880835	996864	2213751	771566	329631	418379	455596	918945	547811	China
50	Silk	1287710	1642004	1745541	1706534	1630003	1516713	1270323	1159517	1114376	1140489	995138	511466	China
06	Live trees and other plants; bulbs, roots and the like; cut flowers and ornamental foliage	188265	205566	228994	256113	275439	409950	299635	331766	336340	379741	431893	472602	China
18	Cocoa and cocoa preparations	129543	212617	314904	332925	385986	475797	442386	425911	376015	403638	399747	327437	China
79	Zinc and articles thereof	230008	286211	289131	158320	233362	572652	525749	309208	246892	249465	333994	242244	China
93	Arms and ammunition; parts and accessories thereof	63539	97520	116973	138674	159233	161163	169511	140052	132826	164061	142473	184948	China
14	Vegetable plaiting materials; vegetable products not elsewhere specified or included	58537	63637	85185	91191	89260	103565	124732	122423	129394	127756	129806	157095	China
80	Tin and articles thereof	68280	173575	174297	97115	157002	141263	60302	67284	59821	74650	112076	126851	China
47	Pulp of wood or of other fibrous cellulosic material; recovered (waste and scrap) paper or ...	91021	140135	231036	127783	106293	117669	113095	109747	135094	131323	134191	115019	China
78	Lead and articles thereof	123160	173111	160752	60506	164296	160514	160390	73066	84973	132409	64066	42163	China
45	Cork and articles of cork	15773	16204	17730	15559	17067	19651	22411	21644	21205	25549	25680	28283	China
TOTAL	All products	1125844048	1267743109	1483802558	1410146321	1450937515	1498238432	1323665116	1332489067	1444776367	1556622939	1486877250	1378030840	Germany
84	Machinery, mechanical appliances, nuclear reactors, boilers; parts thereof	204752727	221343169	261977941	245246444	250238898	256523585	221514216	220421950	248051372	272509150	261225984	236713066	Germany
87	Vehicles other than railway or tramway rolling stock, and parts and accessories thereof	163379152	203378737	247545183	235528646	243242057	259437100	241453521	244154605	256940930	263870692	244648222	211170797	Germany
85	Electrical machinery and equipment and parts thereof; sound recorders and reproducers, television ...	114227517	134931068	148727317	138383492	142979931	147300174	130043235	136072867	149505476	163964937	158450943	151869495	Germany
30	Pharmaceutical products	63229557	63752870	69041420	70387759	74817967	79703686	75297186	75898005	83769470	96420262	90294694	97436605	Germany
