Code	Product label	Imported value in 2009	Imported value in 2010	Imported value in 2011	Imported value in 2012	Imported value in 2013	Imported value in 2014	Imported value in 2015	Imported value in 2016	Imported value in 2017	Imported value in 2018	Imported value in 2019	Imported value in 2020	Importer
07	Edible vegetables and certain roots and tubers	15615	17861	17176	10746	16977	13744	17736	35001	36822	31350	20443	39332	Argentina
45	Cork and articles of cork	38538	44556	44969	41796	46691	41424	37152	34189	33909	30628	32157	37537	Argentina
19	Preparations of cereals, flour, starch or milk; pastrycooks' products	31001	35162	40838	41631	30465	25592	24107	30344	46205	49071	40695	37183	Argentina
05	Products of animal origin, not elsewhere specified or included	25893	33735	45447	36500	39670	35384	38157	39282	35887	34131	27954	34347	Argentina
91	Clocks and watches and parts thereof	36499	47423	65078	57783	61344	55161	66220	62403	59571	50167	34621	32602	Argentina
17	Sugars and sugar confectionery	35589	59210	82970	41397	44139	36648	37137	40853	56435	48252	36907	31058	Argentina
37	Photographic or cinematographic goods	84141	87782	87539	90239	87638	77967	75376	53333	53247	43332	42243	29943	Argentina
10	Cereals	21673	32415	32129	42969	18011	17008	12846	17982	35390	35484	29096	29250	Argentina
11	Products of the milling industry; malt; starches; inulin; wheat gluten	10238	12997	14247	12853	19337	16497	13497	18689	22492	25776	29847	27922	Argentina
86	Railway or tramway locomotives, rolling stock and parts thereof; railway or tramway track fixtures ...	30159	34101	70576	129353	374302	716739	636333	467141	395496	212322	98450	25739	Argentina
01	Live animals	13047	13072	17378	15484	17170	15359	14943	23506	22530	21882	24174	23612	Argentina
80	Tin and articles thereof	14485	28917	27810	22954	25992	17288	16304	17757	14173	16758	8805	21136	Argentina
81	Other base metals; cermets; articles thereof	18260	23805	25372	22255	26685	19549	21964	14824	17208	19290	16198	18427	Argentina
75	Nickel and articles thereof	20020	37925	41844	31554	37496	30085	29456	20325	19799	28539	35129	18339	Argentina
65	Headgear and parts thereof	16279	20748	22496	17627	16367	17155	17533	24758	33052	32820	20429	16854	Argentina
92	Musical instruments; parts and accessories of such articles	24593	32047	45216	38711	39024	31579	34213	34110	30675	27626	13694	16774	Argentina
58	Special woven fabrics; tufted textile fabrics; lace; tapestries; trimmings; embroidery	18441	23010	38802	36068	34619	30275	30472	28984	27702	27277	17672	15781	Argentina
57	Carpets and other textile floor coverings	12854	22129	29430	23097	22247	18059	16065	20751	26044	25833	19232	13763	Argentina
04	Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere ...	17651	29862	25594	36075	27898	26606	11757	16891	30759	29204	26029	13717	Argentina
41	Raw hides and skins (other than furskins) and leather	21198	39064	51953	33687	29332	31100	31702	26723	17049	16390	13614	11838	Argentina
93	Arms and ammunition; parts and accessories thereof	15292	18267	26821	20809	16553	15557	17633	21602	27083	18973	10107	10767	Argentina
36	Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations	13840	21161	27157	24767	25578	26576	21764	17714	18980	18180	19257	10196	Argentina
53	Other vegetable textile fibres; paper yarn and woven fabrics of paper yarn	4686	6928	6539	5228	4881	4939	5822	7508	7090	9511	5656	6206	Argentina
