Importers	Exported value in 2009	Exported value in 2010	Exported value in 2011	Exported value in 2012	Exported value in 2013	Exported value in 2014	Exported value in 2015	Exported value in 2016	Exported value in 2017	Exported value in 2018	Exported value in 2019	Exported value in 2020	Exporter
Mauritania	76247	76822	218505	222011	143633	138437	93693	69491	77021	83714	75829	66090	Germany
Faroe Islands	13411	14506	21323	96088	41352	53015	42554	98266	59265	88040	142544	65479	Germany
Jamaica	31254	34148	46287	52027	57269	51186	58873	77509	75972	117703	70297	58930	Germany
Lao People's Democratic Republic	16614	21628	39188	154166	52841	115052	45095	35074	34018	34921	23507	57398	Germany
Nicaragua	26796	28065	37067	39777	52161	82073	66699	69087	67892	63631	53615	54999	Germany
Namibia	126241	109620	223577	172571	221976	160026	96807	81053	75995	67378	66154	51173	Germany
Congo	77881	86990	78274	87556	105510	127349	153444	89714	60535	49878	48338	50339	Germany
Zimbabwe	26467	48312	69245	74431	51046	42478	50118	30078	32604	38754	36702	48742	Germany
Zambia	49374	40840	63649	114670	204605	105345	64471	60708	64458	77286	71365	47243	Germany
Kyrgyzstan	65769	52518	96227	130581	120402	113630	55979	53664	70256	70561	62934	45505	Germany
Botswana	41468	49979	32249	59656	43948	75946	82956	80162	72962	87657	74092	45250	Germany
New Caledonia	61458	82285	70651	63848	60589	68333	61800	48621	45022	48187	51356	45088	Germany
Haiti	12701	35968	22116	12573	25579	25738	34290	25488	29738	45440	31590	44851	Germany
Tajikistan	36332	47612	35303	37152	47589	59638	49215	42959	62762	56760	31940	42149	Germany
Benin	94128	93339	116723	101281	123698	104361	74638	48638	36619	46409	40291	42143	Germany
Andorra	41399	49985	48346	39304	42817	52896	36518	44471	43829	50680	48904	41183	Germany
Madagascar	93314	51023	43685	44240	51995	57947	40255	33642	47368	46402	58844	38710	Germany
Venezuela, Bolivarian Republic of	1072311	948119	990522	1190606	990656	925034	570844	276756	191925	149617	58173	38475	Germany
Somalia	833	5916	2906	2436	5192	7163	16520	10324	15258	26819	30704	33056	Germany
Nepal	25845	30115	23178	27545	42792	39003	167227	32314	173114	54315	48433	31878	Germany
Bahamas	56501	22333	78319	193588	112259	35185	45820	49311	36120	51023	36230	31700	Germany
Gabon	65082	86054	112399	107371	121824	107326	59047	41556	44750	57296	44007	30435	Germany
Malawi	18883	24021	22796	27878	36264	16666	21549	19257	27669	22676	34014	26767	Germany
Maldives	17524	18725	24914	29384	26381	36661	34954	40821	50185	54307	47407	26640	Germany
Suriname	23966	29672	30319	30252	46784	39047	30892	28080	22586	25831	28917	25894	Germany
Gibraltar	55169	161508	139154	117824	198561	61746	21393	22488	235774	32053	33716	21408	Germany
French Polynesia	30571	34272	28152	28979	32766	29153	29260	32116	29920	35064	28013	20971	Germany
Papua New Guinea	45447	25896	47022	88801	35666	38830	35510	29633	28442	26643	33544	18818	Germany
Curaçao	0	0	39458	37372	23908	18834	27786	28007	31996	48068	25146	18783	Germany
Djibouti	14292	9100	10311	13488	23021	10912	20538	24054	21992	16710	18741	18444	Germany
Gambia	16689	12344	11964	12797	11987	11501	11178	9120	12391	13939	22897	18140	Germany
Equatorial Guinea	32470	31383	52889	44891	33980	26156	29843	18433	16896	21884	24299	17942	Germany
Barbados	15914	21101	37175	15237	17972	19530	20490	25965	16804	18678	27395	17473	Germany
French Southern and Antarctic Territories	103586	21777	42459	7411	5615	3883	4085	2548	10135	3303	10696	17169	Germany
Sierra Leone	15258	18777	47189	51079	30542	32284	30380	22379	24524	23591	18631	15220	Germany
Guyana	13414	6552	13099	14367	14483	6246	10337	7692	12782	11564	12300	14233	Germany
Chad	23724	26532	16809	25040	21520	47087	19455	20454	11262	16034	17138	13412	Germany
Bermuda	16810	887422	132995	5846	8962	6099	467110	9317	15121	9359	134678	13168	Germany
Greenland	12662	4259	5863	6212	6495	7702	12477	18865	10363	11271	14848	13033	Germany
Antigua and Barbuda	45177	59882	17166	9353	28445	13156	17225	15062	15140	17755	8761	10481	Germany
Burundi	14279	19328	12711	20552	22286	19501	8000	13648	11634	11272	14965	9804	Germany
Fiji	4695	3177	49901	7193	11622	11498	8436	9954	13317	9564	9710	9725	Germany
South Sudan	0	0	0	0	14828	6347	10231	5629	4506	5852	10640	9251	Germany
Eswatini	5545	7243	6334	5156	9554	13579	9891	7011	10824	8587	9273	8877	Germany
Cabo Verde	12856	17812	19446	9430	13890	10852	6827	8329	13244	11356	15642	8772	Germany
Bhutan	4140	6197	9209	3795	2839	4738	59130	5167	2424	2082	5662	8099	Germany
Central African Republic	4543	5850	3483	4339	1845	8677	10615	8913	18602	11798	10768	7578	Germany
Aruba	8377	5230	12704	9742	14314	9819	10628	11317	10705	8305	10083	7317	Germany
Eritrea	18338	25720	34005	34716	40134	25790	15636	9387	10721	15597	14354	6603	Germany
Saint Kitts and Nevis	1529	6206	6681	24217	93357	72656	6436	43268	36992	8139	14745	6167	Germany
Grenada	2693	1954	2568	3567	3280	1453	1899	2632	4899	4492	3441	4434	Germany
Guam	0	0	0	0	0	0	4057	5533	5047	7100	6983	4153	Germany
Belize	9875	12927	27491	173365	26104	34684	15597	7167	5123	3406	3489	4144	Germany
Saint Lucia	4668	3962	3337	5947	4201	7982	3350	4741	5671	4094	3315	3510	Germany
Sint Maarten (Dutch part)	0	0	0	0	5768	5135	9345	6163	5534	4243	4635	3349	Germany
Northern Mariana Islands	408	45	5724	1132	1263	137	301	4556	681	463	584	3263	Germany
Guinea-Bissau	2068	2865	6633	1790	2281	3380	2799	3427	5256	3239	3059	3207	Germany
Saint Vincent and the Grenadines	6136	3729	1569	1936	1958	3405	2470	1954	2533	1584	9787	2915	Germany
Lesotho	7281	1623	1930	2022	8604	3027	5952	1751	2129	1673	1894	2792	Germany
United States Minor Outlying Islands	5733	10328	6796	66340	8420	5642	2738	1305	791	1804	1133	2604	Germany
Comoros	845	2167	1841	4457	3879	1454	1433	5810	1622	1370	920	1713	Germany
Turks and Caicos Islands	1183	1064	662	1109	1884	1586	1138	1538	1088	1176	1833	1673	Germany
Anguilla	1516	2073	74	818	7669	43	4042	1408	337	1253	459	1384	Germany
Korea, Democratic People's Republic of	35358	22835	17500	29934	18398	13252	7877	6283	4306	3104	1251	1083	Germany
Dominica	1239	1165	1057	1578	888	1239	1171	1130	1476	1740	1731	884	Germany
Sao Tome and Principe	730	565	523	742	1836	964	579	665	292	337	1280	650	Germany
Tokelau	3599	7365	264	129	722	28	69	102	4928	732	190	492	Germany
Montserrat	717	10	576	213	98	314	39	35	59	102	112	457	Germany
Vanuatu	4777	632	233	381	887	453	850	1115	1064	1048	748	424	Germany
Cook Islands	4538	2	481	593	104	2539	117	494	1221	995	1082	353	Germany
Timor-Leste	3149	298	623	751	189	148	837	187	2154	258	349	316	Germany
St. Pierre and Miquelon	552	160	106	510	641	634	299	390	263	751	394	297	Germany
Samoa	668	544	427	292	883	1487	978	1326	644	2178	3194	265	Germany
Saint Helena	7727	387	66	46	0	8	19	127	39	105	82	259	Germany
Tonga	2403	238	445	454	2464	32	778	517	130	198	259	259	Germany
Solomon Islands	1306	170	136	425	1061	558	678	836	492	303	415	240	Germany
Wallis and Futuna Islands	152	119	163	268	154	147	163	113	170	100	119	156	Germany
Micronesia, Federated States of	133	5	50	1	156	225	85	260	86	228	56	125	Germany
Palau	398	267	353	47	52	44	287	34	32	256	24	125	Germany
Tuvalu	487	0	0	0	0	2	93	53	0	27	11	97	Germany
Falkland Islands (Malvinas)	3922	1032	32	348	181	4011	399	581	243	85	74	58	Germany
Kiribati	303	19	99	43	140	39	101	55	66	15	35	54	Germany
British Indian Ocean Territory	3540	127	0	1644	8	5	2	5	0	0	19	45	Germany
Norfolk Island	309	164	147	102	139	147	108	162	98	111	100	39	Germany
Niue	2301	2	0	0	0	0	0	71	3	0	0	31	Germany
Western Sahara	0	0	0	0	99	267	287	92	43	70	54	15	Germany
Cocos (Keeling) Islands	376	1	0	0	0	0	0	2	0	0	159	1	Germany
Christmas Island	239	0	0	0	0	0	7	0	0	3	161	0	Germany
Nauru	1449	3	58	2	3	0	43	18	4	41	163	0	Germany
Bonaire, Sint Eustatius and Saba	0	0	0	0	561	1202	0	0	0	0	0	0	Germany
Africa not elsewhere specified	35103	21785	23040	19939	18573	21102	0	0	0	0	0	0	Germany
Pitcairn	629	4	39	11	97	109	57	36	8	0	18	0	Germany
Special categories	4396024	6513494	12136657	9288122	9647100	8185727	0	0	0	0	0	0	Germany
Mayotte	4461	6903	5217	5163	3878	0	0	0	0	0	0	0	Germany
Netherlands Antilles	38208	34589	0	0	0	0	0	0	0	0	0	0	Germany
Sudan (before 2012)	285341	316426	0	0	0	0	0	0	0	0	0	0	Germany
World	2017386	2085662	2541705	2531665	2660989	2750172	2611672	2640277	3013160	3630401	4175809	3934554	Senegal
Mali	415317	544845	439571	394428	424432	469989	443151	461336	597522	700114	959429	826131	Senegal
Switzerland	157145	165454	221476	334153	263070	272269	225045	268398	303745	543103	613135	486479	Senegal
India	155203	209480	356601	290606	173372	60770	140040	208086	150366	303225	361686	299223	Senegal
China	23791	16142	18603	15820	22429	40002	119626	127230	133810	115573	276314	264722	Senegal
Australia	48	2	164	344	120	100	771	465	651	1417	2695	214145	Senegal
Côte d'Ivoire	58986	52678	54295	64684	92008	101579	122184	135041	140645	131330	156933	191945	Senegal
Ship stores and bunkers	250383	158888	227185	231056	262223	234191	172485	100504	153116	164955	187790	148873	Senegal
Guinea	66266	79174	135939	121984	127964	112259	98709	85296	105685	127529	134521	148555	Senegal
Spain	44508	60042	74173	57698	79987	72439	74277	90324	108033	139005	152215	124826	Senegal
United States of America	4414	4556	4359	10024	29362	33790	63764	62740	91161	113300	132303	117503	Senegal
Gambia	78052	77366	85358	91453	101696	92726	89871	85796	108133	97694	77517	112318	Senegal
France	121013	96593	112576	112645	108652	125627	97565	74312	77149	84620	87456	76977	Senegal
Mauritania	71588	64910	85160	81875	69619	72281	52537	77655	77366	75496	67829	71006	Senegal
Netherlands	28941	22085	25055	23494	51614	49258	43661	43462	87191	92680	54863	68813	Senegal
United Kingdom	79801	19655	36061	29987	42224	42149	41763	53849	60778	59999	62480	62952	Senegal
Guinea-Bissau	58438	49933	63769	69623	91232	90272	67131	53121	59893	68498	65494	57201	Senegal
Norway	22	899	755	97	2376	5704	7076	13873	40263	4315	20175	55296	Senegal
Italy	51963	46831	69146	60675	52250	75789	83440	65372	77372	109770	101803	54072	Senegal
Burkina Faso	23031	26052	41160	59904	57642	64538	43959	52739	57640	69296	64923	52159	Senegal
European Union Nes	0	0	0	0	0	0	0	0	9825	27752	48280	48523	Senegal
United Arab Emirates	27617	36415	39320	37128	125515	165371	106636	74073	135195	66404	58202	44254	Senegal
Korea, Republic of	1397	5333	9632	14746	31210	65670	33507	50691	41194	26651	39501	31953	Senegal
Cameroon	16939	31814	48494	50417	32001	65215	41847	27029	20121	29817	30175	30096	Senegal
Congo	4296	7727	8657	9377	32638	42705	38132	43552	45610	39111	38408	27395	Senegal
Mexico	590	710	1163	825	1188	1553	1784	8080	15360	11842	5179	24243	Senegal
Nigeria	16566	4880	10422	14034	9641	15142	10376	10073	21693	29805	25594	23875	Senegal
Niger	13442	12456	12007	11516	17931	11538	18593	22621	17098	28615	15305	20463	Senegal
Viet Nam	871	4968	9052	22668	29815	17394	30920	39096	5970	16535	24241	19342	Senegal
Togo	19734	20962	28573	29198	31226	29981	30578	25389	25035	21110	28584	19196	Senegal
Benin	15371	21077	21217	17081	23585	35328	20494	19302	16392	18402	20566	17233	Senegal
Ghana	11511	13278	14076	45374	12363	9368	9927	16861	16043	23954	10664	15363	Senegal
Sierra Leone	9362	12923	20007	28674	18468	29782	22622	17084	13692	16341	14310	12155	Senegal
Morocco	10294	5497	8560	6618	8933	7902	5291	7678	4457	9157	12395	10896	Senegal
Japan	3182	3965	10395	10574	4206	6406	6682	7138	5535	12321	16321	10733	Senegal
Turkey	544	1455	13385	5050	1873	2478	4093	4511	1867	4339	7229	9120	Senegal
Bangladesh	0	767	591	528	4441	5224	10007	11186	9442	10047	6959	8447	Senegal
Lebanon	18842	41645	55864	2859	3728	3727	19563	14798	17025	14687	15831	8345	Senegal
Central African Republic	711	3440	674	1641	785	3813	7832	9430	8583	9002	6792	7825	Senegal
Germany	5667	6302	5157	8855	4905	9317	5906	7889	5710	6026	5755	7356	Senegal
Chad	31449	27109	15439	8974	35803	16810	27339	23403	24472	26540	13973	7134	Senegal
Greece	25716	16337	17580	13719	9189	10282	8725	7599	6440	5586	7848	6906	Senegal
Eswatini	0	0	7	24	11	163	0	0	2809	5318	15271	6430	Senegal
Gabon	6197	7289	11583	11455	13237	17229	13805	11391	4173	6313	10180	6113	Senegal
Portugal	12515	12468	22435	11488	16325	11539	8211	15041	11594	10027	9282	4336	Senegal
Equatorial Guinea	7901	11260	18437	13966	19612	12811	11776	4836	1516	4916	4606	4182	Senegal
Brunei Darussalam	23	35	1856	2776	1471	626	662	503	1077	3300	2601	4094	Senegal
Colombia	1335	1313	51	1	86	23	57	351	498	3636	1182	4070	Senegal
Congo, Democratic Republic of the	5221	1946	2447	733	1300	1059	871	1481	2062	7006	2463	3466	Senegal
Malaysia	244	1980	3957	2748	1074	7080	2702	320	1949	2255	4176	3276	Senegal
Area Nes	40	43	3	378	711	5910	97	568	2175	37182	3662	3267	Senegal
Liberia	9327	8707	12167	10984	11777	9481	6902	7125	6703	7499	2900	3101	Senegal
Ecuador	0	0	0	0	1	54	0	256	2152	263	1224	2433	Senegal
Indonesia	69	325	6493	927	2602	1453	945	906	1464	1425	84	2433	Senegal
Tunisia	1073	2269	226	702	2857	227	1506	3397	2672	964	4028	2247	Senegal
Singapore	760	295	977	1983	475	101	39	1358	1143	10208	7443	2211	Senegal
Ukraine	94	324	125	239	325	7747	1260	582	946	4001	874	1916	Senegal
Cabo Verde	5050	7089	5301	4029	4794	3257	2139	3246	4128	4179	2826	1846	Senegal
Denmark	141	1484	413	797	588	405	2428	1650	1423	723	363	1817	Senegal
Mauritius	0	29	1069	778	912	105	25	1	179	8	147	1771	Senegal
New Zealand	0	0	130	11	459	186	9	40	428	1121	2412	1767	Senegal
Poland	12	82	540	25	4959	17955	22069	14269	4861	3121	9532	1737	Senegal
Tanzania, United Republic of	539	205	320	704	226	724	475	3008	705	521	885	1719	Senegal
Canada	651	1927	1431	593	1802	641	3880	1268	1700	1574	1659	1679	Senegal
Taipei, Chinese	592	2554	1067	1549	2072	2172	2487	2350	1549	2457	1704	1661	Senegal
Israel	1047	2242	2226	2320	3737	2987	2089	3466	2782	3460	2245	1659	Senegal
Haiti	28	0	0	0	356	756	144	208	0	298	202	1521	Senegal
Albania	592	498	1368	2239	3992	4248	3180	187	99	284	324	1405	Senegal
Zambia	17	0	15	2	166	339	292	203	1040	1130	1821	1281	Senegal
Pakistan	962	1120	2849	4056	5668	2792	1358	852	710	1141	128	1257	Senegal
Angola	2934	8386	3463	16287	979	720	393	4410	781	358	738	1240	Senegal
Sudan	0	0	0	665	347	885	860	652	900	1882	744	1197	Senegal
Thailand	1173	2666	5286	3072	766	1779	797	2130	5645	5280	1367	1087	Senegal
Peru	53	42	0	178	0	0	0	0	0	456	1520	955	Senegal
Iceland	319	1108	1123	1847	231	341	1689	1180	221	582	114	835	Senegal
Egypt	1047	991	581	375	4833	155	947	541	420	468	431	826	Senegal
Philippines	0	155	31	47	224	75	0	0	0	65	0	783	Senegal
Uganda	97	0	330	203	60	164	188	357	309	394	813	715	Senegal
Brazil	1122	295	408	512	2417	3218	4180	5260	2834	3276	761	713	Senegal
Algeria	310	161	800	238	612	680	1303	635	520	443	258	695	Senegal
Hong Kong, China	1152	1423	1901	2124	1447	3780	4424	3313	4827	2872	2131	641	Senegal
Ireland	21	9	1680	57	1618	129	426	2158	1	252	34	526	Senegal
Saudi Arabia	720	501	116	3925	7747	4150	1496	1625	1151	1929	871	461	Senegal
Madagascar	151	216	65	87	50	52	77	33	50	115	67	421	Senegal
Bulgaria	43	1245	1116	494	2588	2959	2353	767	866	890	888	410	Senegal
Mozambique	415	3519	1381	197	55	168	275	665	60	133	452	381	Senegal
Iran, Islamic Republic of	388	57	562	2438	359	549	527	2101	888	2968	0	321	Senegal
Cyprus	1223	1345	1663	1412	816	923	718	1059	1016	1339	1127	266	Senegal
Austria	65	35	68	37	64	236	295	345	389	196	228	244	Senegal
Slovakia	0	0	71	198	0	0	2	1	443	2	0	225	Senegal
Venezuela, Bolivarian Republic of	0	20	0	68	0	0	0	0	131	44	325	222	Senegal
Georgia	135	7	338	257	750	486	360	199	111	102	314	205	Senegal
Korea, Democratic People's Republic of	95	54	131	764	170	520	7822	486	2502	1535	1024	179	Senegal
Malta	289	377	362	348	333	558	546	677	610	625	392	171	Senegal
South Africa	1730	640	2227	2326	3807	2912	20518	1903	4524	536	1857	160	Senegal
Syrian Arab Republic	14	68	0	0	53	0	0	14	0	272	19	158	Senegal
Chile	144	14	0	16	0	10	0	127	1328	114	6631	147	Senegal
Russian Federation	264	19	62	1415	32	1032	85	1136	5709	82	6177	135	Senegal
Guatemala	18	57	245	0	0	0	0	36	0	142	569	122	Senegal
Costa Rica	109	21	40	109	0	124	321	21	2	849	985	102	Senegal
Jordan	120	133	322	230	12	25	196	116	74	56	1	101	Senegal
Lithuania	0	0	0	0	0	0	0	10	0	14	0	99	Senegal
Burundi	383	24	9	66	25	6	42	51	53	64	133	88	Senegal
Argentina	39	7	107	183	41	46	0	122	9897	0	0	84	Senegal
Sweden	139	103	24	2400	474	303	1135	1127	2902	2618	5781	78	Senegal
Panama	7	0	6	11	1265	31	0	2	322	0	0	68	Senegal
Oman	0	211	0	13	0	1	39	0	7	12	0	65	Senegal
Rwanda	18	44	85	19	16	19	9	54	4	16	4	64	Senegal
Macao, China	645	155	440	184	134	0	95	1	0	0	8	46	Senegal
Iraq	0	0	0	0	0	0	0	0	1	15	232	45	Senegal
Gibraltar	0	0	0	0	6167	10332	2537	2553	0	0	0	41	Senegal
Azerbaijan	0	0	21	0	49	0	0	71	27	27	106	41	Senegal
Latvia	0	0	0	0	0	0	242	94	3	83	0	37	Senegal
Slovenia	0	183	361	447	170	75	7	14	0	0	0	37	Senegal
Somalia	0	0	0	0	0	1	0	0	0	0	131	35	Senegal
Seychelles	0	0	0	0	0	100	93	0	0	0	4	35	Senegal
Hungary	50	202	65	12	2	169	5	980	5	70	152	31	Senegal
Ethiopia	59	34	17	53	18	173	43	3	487	86	1698	29	Senegal
Czech Republic	21	79	0	0	0	204	12	0	2	0	7	25	Senegal
Kenya	1703	1022	1407	6383	1864	4082	769	44	137	298	1427	21	Senegal
Kuwait	5	0	2	132	9	1	10	3	952	23	5	19	Senegal
Maldives	0	0	0	1	0	0	0	2	7	2	4	19	Senegal
Comoros	2	20	14	0	10	501	1463	106	0	116	24	18	Senegal
Finland	351	25	40	807	62	32	13	14	32	22	4854	18	Senegal
Suriname	0	0	0	0	419	16	777	0	0	11	183	18	Senegal
Qatar	0	21	0	0	0	916	10	1	42	0	0	17	Senegal
United States Minor Outlying Islands	125	88	2	0	0	0	0	0	8	181	133	16	Senegal
St. Pierre and Miquelon	0	0	0	0	0	0	0	97	93	0	0	15	Senegal
Afghanistan	4	9	38	40	94	96	28	39	7	3	53	14	Senegal
Cuba	0	0	0	1	0	1	0	0	0	0	2	12	Senegal
Samoa	0	0	0	0	0	0	0	0	0	0	0	9	Senegal
Romania	0	18	16	0	13	0	138	42	0	12	28	6	Senegal
Guyana	0	0	0	3	301	12	0	0	0	8	13	5	Senegal
Libya, State of	164	565	0	375	3150	196	301	29	486	7	62	5	Senegal
Nauru	0	0	0	8	0	102	1	0	4	7442	0	3	Senegal
Djibouti	40	9	359	242	417	14	1	132	15	47	6	1	Senegal
Antigua and Barbuda	35	9	165	5	1288	823	739	145	695	20	90	1	Senegal
Lao People's Democratic Republic	198	0	0	109	0	0	0	0	1	0	4	0	Senegal
Montenegro	1	0	434	104	599	753	4	477	1	10072	1483	0	Senegal
Niue	0	272	89	219	0	37	17	0	0	0	0	0	Senegal
Saint Helena	0	0	0	0	0	0	0	0	0	0	160	0	Senegal
Tokelau	421	0	0	0	100	0	0	0	0	0	0	0	Senegal
Andorra	0	0	21	0	0	2	2	84	0	0	0	0	Senegal
Bahamas	0	6	0	6	0	0	0	0	13	0	0	0	Senegal
Bahrain	19	0	0	13	0	0	0	0	0	0	0	0	Senegal
Armenia	0	0	0	19	23	216	26	5	4	1	1	0	Senegal
Barbados	0	0	0	0	62	0	194	203	0	0	0	0	Senegal
Belgium	14024	12386	11045	12408	19518	19926	13417	14002	0	0	0	0	Senegal
Bermuda	0	0	39	5	6	61	0	2	0	27	2	0	Senegal
Bhutan	0	0	21	0	0	0	0	0	0	0	2	0	Senegal
Bolivia, Plurinational State of	0	16	0	0	0	0	0	7	0	0	0	0	Senegal
Bosnia and Herzegovina	0	36	0	169	1	0	2	6	0	7	0	0	Senegal
Botswana	17	0	368	324	52	237	24	23	22	49	355	0	Senegal
Belize	0	17	0	0	2	0	0	0	0	0	0	0	Senegal
Myanmar	0	0	0	0	0	0	0	0	85	0	130	0	Senegal
Belarus	0	7	6	8	134	255	0	0	0	22	0	0	Senegal
Cambodia	0	0	0	10	0	0	0	18	2	0	0	0	Senegal
Cook Islands	1	0	193	189	3	1	0	0	0	0	0	0	Senegal
Croatia	19	29	124	0	0	0	0	14	0	0	49	0	Senegal
Dominican Republic	0	0	0	0	5	202	9	0	0	0	0	0	Senegal
El Salvador	0	0	17	0	40	28	0	0	218	0	0	0	Senegal
Estonia	0	0	0	0	0	0	0	0	0	42	5	0	Senegal
Honduras	1	127	13	14	0	86	0	0	0	0	0	0	Senegal
Jamaica	0	0	0	26	29	0	0	0	0	0	0	0	Senegal
Kazakhstan	0	0	47	0	0	27	0	24	2	0	0	0	Senegal
Lesotho	9	0	0	0	0	7	0	0	0	0	0	0	Senegal
Malawi	5	0	0	0	0	47	0	10	0	0	615	0	Senegal
Mongolia	0	0	0	0	0	11	3	170	0	142	53	0	Senegal
Namibia	298	60	108	13	0	291	12	77	400	22	171	0	Senegal
Nepal	0	0	0	0	0	0	0	0	1	0	20	0	Senegal
Curaçao	0	0	0	141	0	0	0	0	0	1	1	0	Senegal
Aruba	63	0	0	0	0	0	0	0	0	0	0	0	Senegal
New Caledonia	21	23	0	0	0	0	0	0	0	0	2	0	Senegal
Nicaragua	4	51	6	12	39	58	1018	286	4	65	87	0	Senegal
Papua New Guinea	1693	368	263	578	278	36	59	51	4	11	340	0	Senegal
Paraguay	0	12	934	0	1	100	0	0	0	0	22	0	Senegal
Timor-Leste	149	28	401	56	257	10	0	0	0	0	0	0	Senegal
Saint Vincent and the Grenadines	0	0	25	1	0	0	9	7	1	0	3	0	Senegal
Sao Tome and Principe	5	0	2	0	0	0	0	0	3	4	0	0	Senegal
Serbia	22	0	517	0	0	0	40	309	0	0	0	0	Senegal
Zimbabwe	0	0	1	3	0	69	1	0	0	0	125	0	Senegal
Sudan (before 2012)	4912	5684	310	0	0	0	0	0	0	0	0	0	Senegal
Tonga	5	8	3	0	0	17	0	0	0	0	0	0	Senegal
Trinidad and Tobago	0	14	0	0	161	0	203	879	68	146	285	0	Senegal
Turks and Caicos Islands	0	0	0	0	0	0	0	0	1	20	7	0	Senegal
Uruguay	116	0	1	13	0	0	0	0	9	2	9	0	Senegal
Yemen	0	0	0	0	9	0	3	0	0	24	0	0	Senegal
World	102142613	113883219	134906869	152461737	161480915	166504862	143844066	142606247	156992940	167923862	180870841	169657940	Turkey
Germany	9793006	11479066	13950825	13124375	14832546	16275367	13417478	14004848	15118910	16137388	16624070	15980400	Turkey
United Kingdom	5937997	7235861	8151430	8693599	9126733	10216479	10556863	11690650	9603189	11107336	11281350	11236969	Turkey
United States of America	3250109	3766034	4585849	5606487	6647525	6921399	6395899	6627394	8654268	8304672	8971874	10183213	Turkey
Iraq	5123406	6036362	8310130	10822144	12949891	13154131	8550298	7640287	9054612	8346276	10224285	9142515	Turkey
Italy	5889622	6507052	7854463	6373488	7474685	7486545	6887778	7583132	8473629	9560597	9754698	8082942	Turkey
France	6211415	6054499	6805821	6198536	6654651	6860107	5850226	6027992	6589874	7293603	7952702	7204647	Turkey
Spain	2818592	3536247	3917600	3717345	4554381	4977490	4742576	4993394	6302135	7708490	8141147	6684540	Turkey
Netherlands	2127297	2461371	3243080	3244429	3783681	3654059	3154911	3589553	3864486	4760826	5762607	5195418	Turkey
Israel	1522436	2080148	2391148	2329531	2810289	3063444	2698141	2956451	3407436	3894506	4464351	4704455	Turkey
Russian Federation	3189607	4628153	5992633	6680777	7213894	6170452	3588657	1733569	2734316	3399827	4153202	4506813	Turkey
Romania	2201936	2599380	2878760	2495427	2783798	3141513	2815548	2672005	3139188	3867122	4073769	3895656	Turkey
Belgium	1795682	1960441	2451030	2359575	2835446	3190514	2557805	2548729	3151422	3950970	3396818	3634855	Turkey
Poland	1322218	1504280	1758252	1853700	2137802	2484489	2329475	2651896	3070758	3346149	3449492	3474883	Turkey
Egypt	2599030	2250577	2759311	3679195	3336392	3442287	3124968	2733143	2360734	3053571	3510629	3136568	Turkey
China	1600296	2269175	2466316	2833255	3755649	2970633	2414790	2329371	2936262	2912539	2726571	2866389	Turkey
United Arab Emirates	2896572	3332885	3706654	8174607	5243566	4939732	4681278	5406224	9184157	3137048	3627165	2828394	Turkey
Bulgaria	1385544	1497384	1622777	1684989	2136157	2117335	1676112	2384116	2803182	2669703	2668830	2634706	Turkey
Saudi Arabia	1768216	2217646	2763476	3676612	3262257	3137937	3472634	3174965	2734522	2636039	3293057	2507787	Turkey
Iran, Islamic Republic of	2024546	3044177	3589635	9921602	4456195	4142394	3664043	4968851	3259270	2392949	2737560	2253363	Turkey
Ukraine	1004772	1260423	1729760	1829207	2387613	1855867	1121346	1254054	1340709	1466070	2156876	2090410	Turkey
Azerbaijan	1400446	1550479	2063996	2584671	3174497	3061218	1898543	1285840	1356999	1474368	1788708	2085574	Turkey
Morocco	598541	623957	920896	1014906	1310501	1447520	1337555	1469782	1657718	1989587	2346785	2057266	Turkey
Greece	1629637	1455678	1553312	1401401	1544239	1668860	1400519	1428312	1662638	2086696	2245574	1799864	Turkey
Libya, State of	1795117	1932370	747629	2139440	3131864	2166246	1420062	906392	880729	1498326	2069669	1653078	Turkey
Slovenia	595004	356502	617476	548314	696772	756711	810415	928159	1158253	1430254	1843367	1641841	Turkey
Syrian Arab Republic	1421637	1844605	1609861	497960	1229232	2336494	1522285	1323124	1363165	1344837	1730841	1595784	Turkey
Georgia	762977	769271	1092321	1253309	1409043	1611346	1108763	1177085	1208645	1315135	1578139	1461362	Turkey
Algeria	1777198	1504590	1470547	1813037	2122093	2231209	1825988	1736663	1712901	2031583	2016564	1449569	Turkey
Serbia	584547	600112	620499	635653	744805	800108	733165	842658	987853	1168265	1302382	1382314	Turkey
Sweden	748741	946866	1183041	1185685	1267656	1436777	1188820	1216286	1414292	1480191	1432783	1330561	Turkey
Hungary	445669	440766	508648	517874	709989	774667	711840	831991	1080257	1155080	1423443	1263431	Turkey
Uzbekistan	279964	282666	354490	449884	624482	650355	488652	533322	680104	951458	1232288	1154334	Turkey
Austria	807146	835181	1052932	1000745	1083310	1153500	1024532	1046186	1113743	1160099	1183864	1130393	Turkey
Czech Republic	489014	694077	888387	786276	848706	976658	768632	804331	907616	1000786	1112872	1127785	Turkey
Korea, Republic of	234609	304301	528507	527993	499859	513331	568635	518976	584115	929107	943961	1103834	Turkey
Switzerland	3940363	2065015	1493983	2134517	1124551	3250454	5680809	2680909	891823	1738512	1042346	1095496	Turkey
Denmark	690864	765081	880920	983886	1026960	1108892	901797	947816	1011464	1069757	1039459	1044373	Turkey
Qatar	289361	162549	188138	257329	254583	365779	423097	439149	648915	1096417	1293135	1037211	Turkey
