Code	Product label	Exported value in 2009	Exported value in 2010	Exported value in 2011	Exported value in 2012	Exported value in 2013	Exported value in 2014	Exported value in 2015	Exported value in 2016	Exported value in 2017	Exported value in 2018	Exported value in 2019	Exported value in 2020	
69	"Ceramic products"	8060552	11099766	14052567	16745943	19162590	21978517	26337294	19420436	19997449	22369944	25432993	25116609	
99	"Commodities not elsewhere specified"	1628225	1467101	2341691	1415578	1728194	2266660	2030505	5890469	6204745	5279261	11757215	24996201	
76	"Aluminium and articles thereof"	9498521	14530901	18648585	18641304	20039265	22615470	23819933	21315169	22642422	27077282	26108435	24597895	
42	"Articles of leather; saddlery and harness; travel goods, handbags and similar containers; articles ..."	15115638	20845585	26892327	28243843	30673232	30365883	31106911	28046821	29118206	29703611	29587779	22681926	
40	"Rubber and articles thereof"	10663752	14895968	20924871	22151607	23129527	23597424	20358587	18874826	20686033	22276120	22160538	22539340	
38	"Miscellaneous chemical products"	6524338	9539887	11934628	10981914	12304391	14211312	13222507	13541852	16242714	18141959	17086533	22171262	
89	"Ships, boats and floating structures"	28364212	40296396	43625095	38819904	28681232	25202442	28794779	22538032	22905178	25005463	24497145	21732138	
48	"Paper and paperboard; articles of paper pulp, of paper or of paperboard"	7567069	9561196	12905511	13721808	15987710	17818530	18849402	18172106	18417668	19460628	22008828	20890615	
83	"Miscellaneous articles of base metal"	7416100	9567351	11888204	13314582	14853311	17180402	18509653	16340854	17480373	18633797	19630441	20179313	
96	"Miscellaneous manufactured articles"	6872132	8663080	10148334	12180541	13107157	14227646	14698912	15086477	15649282	16490178	17984122	18466547	
71	"Natural or cultured pearls, precious or semi-precious stones, precious metals, metals clad ..."	7498035	12546360	27503683	45451332	50288541	63199827	29186637	21160671	17779989	20117183	20816755	18440879	
70	"Glass and glassware"	7597086	10325404	12603526	14893411	16202765	16039685	15855876	15609987	15850008	16859044	17905612	18344638	
54	"Man-made filaments; strip and the like of man-made textile materials"	7494072	10085649	13815292	14300658	16014283	16878482	16382987	16596860	17977467	20499924	22212237	18193671	
82	"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof of base metal"	6465557	8869591	11173079	12262171	13256548	14786080	14619156	13546025	15076320	16365548	16680386	17168367	
60	"Knitted or crocheted fabrics"	6422485	8666501	10697629	11219348	12900389	14141713	14629502	14467683	16509475	18164493	18671879	16272617	
28	"Inorganic chemicals; organic or inorganic compounds of precious metals, of rare-earth metals, ..."	7813649	11763392	17303680	13921535	13592888	15026001	13463968	12294727	15023743	20183227	16908485	15207618	
44	"Wood and articles of wood; wood charcoal"	7713472	9651542	11354387	12315248	12748096	14469961	14211189	13613183	13693414	14888330	13410434	13543077	
30	"Pharmaceutical products"	3418671	4482156	5421338	5890833	6207562	6591592	6942904	7018375	7359497	8866142	9165509	13214357	
68	"Articles of stone, plaster, cement, asbestos, mica or similar materials"	4860413	5787285	7365774	8072995	10062402	11094744	13098201	11387835	11555642	12284202	11555921	12622062	
52	"Cotton"	9600864	13066589	15497505	14838936	17546657	16304250	15806581	14995944	15132579	15393581	14142823	11000906	
03	"Fish and crustaceans, molluscs and other aquatic invertebrates"	6813578	8806786	10988832	11323257	12526363	14074262	13325035	13705666	13255372	13257220	12470733	10712134	
55	"Man-made staple fibres"	6060933	7956682	11176015	10624386	11211386	12817090	12901704	12143454	12055254	12692242	12395421	10061646	
86	"Railway or tramway locomotives, rolling stock and parts thereof; railway or tramway track fixtures ..."	2862505	8915161	14315876	12886172	10994681	12737456	12408623	6855397	10946520	13274153	9133122	9785653	
07	"Edible vegetables and certain roots and tubers"	4853057	7477261	8722974	6905649	7871395	8226456	9026404	10553812	11161646	10518061	10328092	9671653	
16	"Preparations of meat, of fish or of crustaceans, molluscs or other aquatic invertebrates"	4576013	5863961	7861641	8951553	8982206	8881919	8007538	7941930	9025330	10253046	9241241	9165675	
67	"Prepared feathers and down and articles made of feathers or of down; artificial flowers; articles ..."	2353879	3042480	4323613	5277906	5849411	6539438	6847773	5275763	6023655	7019013	8516883	8543391	
56	"Wadding, felt and nonwovens; special yarns; twine, cordage, ropes and cables and articles thereof"	1962161	2683298	3457645	3540451	4125344	4598021	4861927	4937214	5089427	5742582	6062448	8172596	
32	"Tanning or dyeing extracts; tannins and their derivatives; dyes, pigments and other colouring ..."	3068047	4309351	5504602	5470083	5803352	6723672	6300753	6204143	7056043	7782237	7739324	7833365	
20	"Preparations of vegetables, fruit, nuts or other parts of plants"	4750099	5544635	6980105	7562049	7852143	7634471	7390335	7342281	7691124	8051121	7838562	7623290	
08	"Edible fruit and nuts; peel of citrus fruit or melons"	2378787	2679443	3188464	3771731	4171873	4318152	5210495	5486744	5343137	5284633	6229019	7069197	
59	"Impregnated, coated, covered or laminated textile fabrics; textile articles of a kind suitable ..."	3965391	5626071	7254361	6848801	7375917	7607249	7131843	6932651	7406177	8039745	7969555	6713040	
31	"Fertilisers"	2584421	5431165	7924010	7242172	6252535	8919588	10878120	6551331	6074758	7027789	7170886	6567174	
74	"Copper and articles thereof"	3574551	4802012	6743804	7191572	7144440	6982630	5624280	5822738	6470535	6948149	6783502	6173406	
