Decision Tree Pred 2020	Decision Tree Pred 2021	Exported_value_in_2009	Exported_value_in_2010	Exported_value_in_2011	Exported_value_in_2012	Exported_value_in_2013	Exported_value_in_2014	Exported_value_in_2015	Exported_value_in_2016	Exported_value_in_2017	Exported_value_in_2018	Exported_value_in_2019	Exported_value_in_2020	Exporter	Importers	Lineer Reg Pred 2020	Lineer Reg Pred 2021	Poly Reg d3 Pred 2020	Poly Reg d3 Pred 2021	Random Forest Pred 2020	Random Forest Pred 2021	XG Boost Pred 2020	XG Boost Pred 2021
3533.0	3533.0	13332.0	13772.0	14846.0	30395.0	31711.0	15446.0	10151.0	12786.0	32997.0	3093.0	3533.0	675.0	Argentina	El Salvador	11422.0	10567.0	-1592.0	-8127.0	4532.0	4532.0	3638.0	3638.0
1999.0	1999.0	5466.0	5975.0	18347.0	29624.0	23308.0	24123.0	21383.0	2469.0	2097.0	1478.0	1999.0	249.0	Argentina	Equatorial Guinea	4735.0	3459.0	3338.0	11264.0	3253.0	3253.0	1989.0	1989.0
608.0	608.0	5052.0	7889.0	6482.0	9469.0	9513.0	5852.0	5873.0	4000.0	1683.0	758.0	608.0	85.0	Argentina	Estonia	850.0	125.0	403.0	1490.0	1205.0	1205.0	624.0	624.0
640.0	640.0	680.0	826.0	988.0	1063.0	1739.0	1772.0	1119.0	1390.0	1982.0	1618.0	640.0	37543.0	Argentina	Ethiopia	1582.0	1637.0	208.0	-708.0	852.0	852.0	641.0	641.0
5162.0	5162.0	18240.0	17103.0	52345.0	50131.0	85192.0	42497.0	10299.0	143476.0	94367.0	6333.0	5162.0	4175.0	Argentina	Finland	54798.0	55975.0	-58850.0	-139432.0	14882.0	14882.0	6504.0	6504.0
172904.0	172904.0	446245.0	527216.0	576096.0	414067.0	431228.0	320306.0	363147.0	364024.0	297042.0	184918.0	172904.0	128708.0	Argentina	France	168405.0	134394.0	142031.0	117028.0	199930.0	199930.0	173661.0	173661.0
5290.0	5290.0	7315.0	5843.0	8368.0	9187.0	16586.0	8663.0	8943.0	5539.0	7900.0	5245.0	5290.0	2684.0	Argentina	Gabon	6506.0	6243.0	4560.0	4856.0	5544.0	5544.0	5285.0	5285.0
760.0	760.0	3568.0	743.0	1458.0	361.0	665.0	368.0	137.0	2738.0	4202.0	427.0	760.0	195.0	Argentina	Gambia	1247.0	1221.0	-1671.0	-5173.0	806.0	806.0	702.0	702.0
981.0	981.0	6209.0	12742.0	18152.0	15062.0	32898.0	10827.0	4647.0	2114.0	4301.0	493.0	981.0	233.0	Argentina	Georgia	539.0	-1014.0	8315.0	20361.0	1236.0	1236.0	946.0	946.0
660067.0	660067.0	1391486.0	1832056.0	2485980.0	1970216.0	1637228.0	1536739.0	1341905.0	1272249.0	1159538.0	662948.0	660067.0	360812.0	Argentina	Germany	686177.0	558867.0	824740.0	1132167.0	746719.0	746719.0	660017.0	660017.0
75557.0	75557.0	36685.0	27139.0	19074.0	32778.0	47941.0	20658.0	27899.0	42796.0	44056.0	45456.0	75557.0	14924.0	Argentina	Ghana	56871.0	59985.0	90344.0	116110.0	66182.0	66182.0	74776.0	74776.0
146862.0	146862.0	141546.0	111446.0	127886.0	109287.0	130934.0	135189.0	127354.0	123781.0	141807.0	178672.0	146862.0	97815.0	Argentina	Greece	153851.0	157147.0	158063.0	154630.0	148264.0	148264.0	146537.0	146537.0
23761.0	23761.0	92423.0	79593.0	99656.0	133845.0	150693.0	55608.0	68138.0	72115.0	147172.0	30272.0	23761.0	15320.0	Argentina	Guatemala	53713.0	48221.0	91.0	-34683.0	30811.0	30811.0	25439.0	25439.0
875.0	875.0	1575.0	855.0	1804.0	1990.0	726.0	416.0	200.0	690.0	787.0	525.0	875.0	264.0	Argentina	Guinea	350.0	250.0	1634.0	2607.0	771.0	771.0	861.0	861.0
2133.0	2133.0	928.0	618.0	1787.0	2946.0	1042.0	2409.0	2210.0	2662.0	3635.0	3702.0	2133.0	1140.0	Argentina	Guyana	3525.0	3748.0	2204.0	1418.0	2383.0	2383.0	2130.0	2130.0
1351.0	1351.0	32214.0	31525.0	31489.0	26462.0	18015.0	10689.0	3927.0	6178.0	16441.0	3486.0	1351.0	425.0	Argentina	Haiti	-3453.0	-6783.0	6592.0	10796.0	2129.0	2129.0	1401.0	1401.0
8958.0	8958.0	16678.0	12086.0	24086.0	33621.0	30712.0	34440.0	13690.0	20775.0	69405.0	5148.0	8958.0	1561.0	Argentina	Honduras	25976.0	26220.0	-8388.0	-32253.0	9553.0	9553.0	8877.0	8877.0
220461.0	220461.0	282029.0	317874.0	322790.0	310288.0	325749.0	331949.0	213407.0	235657.0	266263.0	252057.0	220461.0	131442.0	Argentina	Hong Kong, China	225195.0	216084.0	257907.0	297834.0	225217.0	225217.0	221249.0	221249.0
