Exporters	Imported value in 2009	Imported value in 2010	Imported value in 2011	Imported value in 2012	Imported value in 2013	Imported value in 2014	Imported value in 2015	Imported value in 2016	Imported value in 2017	Imported value in 2018	Imported value in 2019	Imported value in 2020	
"Kuwait"	184219	214515	270446	278464	353461	255097	141425	110703	169403	144372	146805	53385	
"Lebanon"	108800	228536	282744	176393	206954	150216	67228	81805	131205	169556	64239	51549	
"Tanzania, United Republic of"	11078	14332	21788	26022	51776	40833	34564	23094	48737	41052	29751	49681	
"Myanmar"	17583	23840	15377	4214	8213	10409	8058	11103	25605	37206	52233	48430	
"Cameroon"	21162	39911	47727	30172	43101	38756	35313	45284	53864	46981	52143	43775	
"Ethiopia"	35115	40934	41799	46956	72701	79192	35718	35310	31527	34441	51484	40527	
"Panama"	12028	20670	38908	38519	51075	23936	18958	12177	28812	41575	12273	40217	
"Marshall Islands"	2982	0	67	5923	1354	437	17042	8797	26720	6754	17227	37920	
"Palestine, State of"	274	576	271	464	1425	2631	2343	3364	4975	6660	9034	35993	
"New Zealand"	28279	48030	57704	54586	89802	118034	62702	46558	34876	25836	49542	35599	
"Albania"	4694	86859	125916	98989	83819	100340	49578	20602	24166	22163	22276	33589	
"Afghanistan"	4649	5098	4795	6461	20961	35789	11889	9398	8831	11656	24053	27299	
"Mauritania"	662	1441	15062	4189	3656	16020	12871	15129	45111	30825	83224	27039	
"Iceland"	6941	18094	27936	14099	20326	25214	30733	27991	32230	27221	26537	25964	
"Kenya"	5813	13378	14749	17877	14547	17001	13241	13164	17114	18797	17310	24066	
"Trinidad and Tobago"	16867	1558	13088	14781	3616	12612	24226	16318	25035	10641	52584	22895	
"Gabon"	11584	4966	3474	5752	18481	3002	3092	1701	3447	8202	8324	20376	
"Malawi"	30050	20222	11904	17238	25451	39021	29228	16185	17015	16400	18005	19807	
"Senegal"	1489	1449	2509	2163	5581	4631	5517	6138	4946	12585	10209	19029	
"Montenegro"	5845	6214	14588	17936	11638	7127	8001	23364	24081	14217	12912	18020	
"Guatemala"	2471	11908	9066	7132	22659	15763	16137	11008	10597	8930	13663	17807	
"Dominican Republic"	7836	9958	13405	10037	20141	18696	16087	12476	15431	14938	16781	17016	
"Madagascar"	2552	1915	2413	2145	7742	13985	5833	4876	5109	4165	9784	14627	
"Nepal"	3436	9616	10696	11513	12658	17405	15760	31298	54922	41131	26808	14389	
"Zimbabwe"	3156	6549	5768	7930	15268	8302	4844	11925	10742	10330	12924	13637	
"Cuba"	1653	1698	2833	6219	22180	16475	16987	13729	13536	11593	20232	13017	
"Togo"	544	6964	47030	45713	46312	45580	8668	5790	12055	17471	10550	10881	
"Uganda"	11198	11494	7746	3606	8507	12632	7069	10924	8569	10145	7487	9100	
"Seychelles"	733	254	474	2811	1064	5583	8959	5301	13942	9351	7783	9046	
"Palau"	0	0	0	0	0	2728	2308	361	1315	1444	681	9033	
"Congo"	7851	11228	25966	12173	8209	82405	5089	7746	8444	3945	1471	8704	
"Yemen"	310	1044	464	368	261	10751	10951	21	675	1239	5506	7666	
"Burkina Faso"	4856	44872	146997	222725	37600	22950	46526	44745	63614	8658	20618	7510	
"Bahamas"	4362	1534	1155	8447	137130	5240	16540	28	29	2458	366	7414	
"Honduras"	559	1989	6983	2081	5683	2318	2668	3922	4417	3438	4910	5842	
"Benin"	0	3217	942	1864	1697	1552	2912	2849	22409	26712	15924	5465	
"Somalia"	164	1361	2465	1163	1116	1718	1343	2156	1030	5842	6980	4938	
"Comoros"	8103	2873	13397	10534	5850	1078	776	46	3311	7443	7777	4646	
"Angola"	9	276	341	1812	8006	4964	156	5947	1364	2043	2324	4228	
"Paraguay"	72026	221921	229434	150331	292077	372639	140379	260387	300543	107409	35689	4187	
"Zambia"	2596	8316	113457	6017	1476	13783	3098	5188	5213	3073	5571	4135	
"Lao People's Democratic Republic"	544	1314	1153	1786	3046	2679	1438	1536	4545	6813	6719	3832	
"Mali"	898	1397	2841	2095	454	9483	2259	9128	29941	20319	8665	3807	
"Armenia"	1052	2626	133	222	437	1358	988	1386	2145	1957	2665	3352	
"Mauritius"	6799	6574	7015	6167	7873	7578	6672	5000	3782	2775	3328	2702	
"Mongolia"	3	896	3010	8	436	140	547	5153	1821	4264	594	2107	
"Saint Kitts and Nevis"	3072	2688	1170	2007	3688	4016	18	6947	7137	2961	4	1981	
"El Salvador"	355	384	615	455	482	1292	1275	5017	3868	3977	2432	1904	
"Sierra Leone"	2368	10610	23063	47870	23726	26172	1810	4094	938	2789	2946	1788	
"Central African Republic"	3558	5145	5017	4380	2981	2587	3022	2752	919	3016	1977	1774	
"Gambia"	11	10	46	1016	34	115	25	4	3	0	1338	1460	
"Guyana"	601	2413	4320	2575	4404	3625	83	19	4089	3202	1169	1401	
"Saint Vincent and the Grenadines"	3050	5032	8722	10726	9603	8711	0	191	893	1137	6534	1194	
"Faroe Islands"	1	44	24	2	118	17	70	128	134	267	199	1192	
"Guinea-Bissau"	0	0	0	604	130	572	1543	1588	897	108	652	1180	
"Congo, Democratic Republic of the"	6178	3170	18933	40888	56722	204092	130523	34460	9389	8287	461	939	
"Nicaragua"	68	146	348	210	229	309	308	254	292	440	820	932	
"Bhutan"	0	3	3	2	2	1638	1526	195	2455	2213	1487	921	
"Haiti"	116	56	58	257	518	163	149	252	303	261	701	709	
"Gibraltar"	9864	7	191	28	7710	55	7146	6783	22	31	1	625	
"United States Minor Outlying Islands"	400	186	78	259	490	723	1324	134	595	81	305	455	
"Papua New Guinea"	8	8	27	36	18	5	50	87	68	62	295	365	
"Niger"	59	9	14	79	182	40	55	110	869	2200	151	166	
"Jamaica"	17	6	218	150	739	539	221	73	149	414	1080	160	
"Namibia"	141	244	3384	6833	4201	3629	1751	804	766	1975	2444	129	
"Burundi"	2	2	28	0	0	3	41	42	102	113	485	107	
"Tuvalu"	0	0	0	3813	0	1	0	0	0	0	0	99	
"Korea, Democratic People's Republic of"	2221	4559	3615	3498	3663	3072	14718	6304	1808	1096	120	93	
"Niue"	28	56	49	135	257	155	283	118	86	129	93	81	
"Suriname"	75	117	251	163	91	187	302	430	255	253	219	81	
"Antigua and Barbuda"	0	0	642	5290	3723	87	1752	816	581	1	6346	73	
"Timor-Leste"	0	0	0	0	0	0	0	0	0	3	1	68	
"Dominica"	495	12	1087	504	1831	111	96	0	157	16	3	63	
"Djibouti"	1062	387	232	89	411	136	113	149	406	244	43	54	
"Fiji"	7	0	1	1	23	149	107	40	108	35	73	45	
"Nauru"	7	17	57	100	84	31	20	69	34	8	18	42	
"Montserrat"	6	0	0	0	1	8	6	0	0	0	0	40	
"Macao, China"	4831	434	538	395	3074	3059	2170	62	90	29	18	34	
"Sao Tome and Principe"	1	6	4	4	379	2509	0	27	0	10	0	26	
"Equatorial Guinea"	30	57	397	509	72	332	105	653	25	227	3699	25	
"Maldives"	0	11	1	2	77	1	2	508	109	13	18	24	
"Barbados"	363	1338	3	59	94	1191	6	3	1066	1702	84	19	
"Cayman Islands"	0	1595	4	4314	880	6	2	63	553	121	88	18	
"Tokelau"	1	12	0	3	10	6	7	18	4	12	43	14	
"Wallis and Futuna Islands"	0	0	0	0	0	0	0	0	0	0	0	14	
"Brunei Darussalam"	1	0	35	2	0	59	16	3	36	3	1	14	
"French Polynesia"	0	0	13	12	7	0	23	0	51	74	53	14	
"Lesotho"	176	142	115	38	10	79	34	40	43	6	29	13	
"Andorra"	8	1	2	48	77	136	166	75	82	54	41	12	
"Greenland"	47	4	8	5	126	3	4	15	2	1	37	12	
"Cabo Verde"	0	2	227	1	0	1091	3075	2635	1053	472	538	9	
"Eswatini"	2	9	31	5	18	15	45	31	312	51	153	9	
"Turks and Caicos Islands"	0	0	1	0	1	0	1	0	8	2	1	9	
"Botswana"	186	0	1	0	0	6	245	10	4	4	39	5	
"Eritrea"	588	10	9	1	126	27	20	2375	0	20	0	4	
"Bermuda"	1	151	0	85	13857	44	3980	7	24	7	26	3	
"Belize"	886	2333	2340	4549	6699	7862	3014	1503	1041	1068	3651	2	
"Grenada"	4	0	2	0	0	1	5	1	2	0	2	2	
"Curaçao"	0	0	392	4607	1977	66	4748	11230	8417	0	0	2	
"Cocos (Keeling) Islands"	0	0	0	6	0	0	0	0	0	0	0	1	
"Saint Helena"	3	0	20	55	0	0	6	2	0	0	10	1	
"Kiribati"	0	0	0	1976	1	0	4	1	0	0	0	1	
"New Caledonia"	7	0	5	25	80	10	4	16	116	0	2	1	
"British Indian Ocean Territory"	0	3	20	2	2	1	2	44	4	0	94	0	
"British Virgin Islands"	8706	216	1240	1	2357	2255	1813	6267	21713	7323	11	0	
"Christmas Island"	1	51	59	51	1	66	2	25	40	0	7	0	
"Falkland Islands (Malvinas)"	85	4	318	96	2	20	91	9	42	53	20	0	
"French Southern and Antarctic Territories"	0	0	29	0	1	16	0	0	0	42	554	0	
"Oceania Nes"	0	2	0	0	0	0	0	0	0	0	0	0	
"Vanuatu"	265	0	256	3963	2664	4	17935	9732	5437	21432	310	0	
