Code	Product label	Exported value in 2009	Exported value in 2010	Exported value in 2011	Exported value in 2012	Exported value in 2013	Exported value in 2014	Exported value in 2015	Exported value in 2016	Exported value in 2017	Exported value in 2018	Exported value in 2019	Exported value in 2020	
31	"Fertilisers"	83679	205484	200598	147397	160201	259478	134435	146818	163173	251400	346290	375614	
22	"Beverages, spirits and vinegar"	180748	229518	258721	285734	314109	356303	315153	290645	320180	352573	362150	338347	
10	"Cereals"	204618	349247	110113	170358	320929	313392	108660	102770	109510	102890	345165	289970	
42	"Articles of leather; saddlery and harness; travel goods, handbags and similar containers; articles ..."	349507	370852	419895	410372	436777	445047	323480	294807	303105	322938	351246	284832	
09	"Coffee, tea, maté and spices"	97416	103447	110495	118694	185149	205283	168481	196162	178338	180685	211864	257132	
59	"Impregnated, coated, covered or laminated textile fabrics; textile articles of a kind suitable ..."	249996	286664	352834	299011	334309	337307	302988	293487	298905	314815	297718	256572	
82	"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof of base metal"	115286	158685	179685	179016	227800	270758	246746	213941	243589	243869	269683	255321	
35	"Albuminoidal substances; modified starches; glues; enzymes"	75112	94365	135571	183444	199079	184282	175529	182491	196389	191862	235358	250994	
41	"Raw hides and skins (other than furskins) and leather"	93631	115731	138608	161317	222401	243893	181134	184224	210014	210200	234100	155984	
81	"Other base metals; cermets; articles thereof"	4866	8262	13332	14136	38745	58913	8118	11465	23249	25932	101397	147510	
86	"Railway or tramway locomotives, rolling stock and parts thereof; railway or tramway track fixtures ..."	86099	16841	115181	127016	96614	74755	94904	50735	85304	79145	142993	145736	
49	"Printed books, newspapers, pictures and other products of the printing industry; manuscripts, ..."	84745	84248	89759	88778	95301	96447	87160	75075	79935	99766	124183	132344	
95	"Toys, games and sports requisites; parts and accessories thereof"	52004	65858	81281	98430	121643	136660	117717	107902	125131	138999	148547	128870	
16	"Preparations of meat, of fish or of crustaceans, molluscs or other aquatic invertebrates"	39998	55773	65446	74530	99604	111035	83176	74195	109439	130772	128166	128266	
75	"Nickel and articles thereof"	6035	11039	9678	25849	26763	21263	12007	23909	45763	75326	77668	107345	
06	"Live trees and other plants; bulbs, roots and the like; cut flowers and ornamental foliage"	48613	56053	75957	73028	78117	83498	77429	81613	85512	99296	107440	106768	
43	"Furskins and artificial fur; manufactures thereof"	104878	174587	261903	273937	290219	242131	136686	123751	155902	173949	161772	101824	
01	"Live animals"	24366	7322	6215	8142	13464	26720	34473	27974	34673	57966	84612	83406	
05	"Products of animal origin, not elsewhere specified or included"	31531	33747	45899	56835	64096	74503	54238	50643	54639	59963	67631	79219	
51	"Wool, fine or coarse animal hair; horsehair yarn and woven fabric"	152938	173219	204156	195288	189398	187669	154497	122161	149078	154080	94048	68043	
47	"Pulp of wood or of other fibrous cellulosic material; recovered (waste and scrap) paper or ..."	5745	14612	27798	8478	29614	35219	24259	23991	21826	32568	57850	60712	
65	"Headgear and parts thereof"	11524	14303	16960	21169	26855	34425	31092	31584	37764	40718	42340	53137	
53	"Other vegetable textile fibres; paper yarn and woven fabrics of paper yarn"	18561	21755	24796	23733	25914	24415	22131	29493	32383	44498	48717	45138	
91	"Clocks and watches and parts thereof"	14657	20293	18938	20983	24576	35881	34915	34194	45886	52957	44970	34635	
78	"Lead and articles thereof"	4596	6411	7662	9730	14923	15826	18738	26827	25718	22092	29517	29271	
13	"Lac; gums, resins and other vegetable saps and extracts"	1525	4683	6636	8403	10607	9783	9107	10283	12003	16387	19122	28925	
36	"Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations"	11952	15581	18306	23575	33754	37889	30264	27101	24543	18570	27044	23003	
37	"Photographic or cinematographic goods"	11298	14043	17646	25437	33925	24274	12523	11480	13682	11510	19650	14279	
14	"Vegetable plaiting materials; vegetable products not elsewhere specified or included"	11134	23340	32852	28417	20765	13226	17778	17742	20381	13419	13239	13390	
97	"Works of art, collectors' pieces and antiques"	2054	2956	4599	2038	15127	4007	4135	7711	9229	19675	14123	10948	
92	"Musical instruments; parts and accessories of such articles"	8024	8749	9094	9411	9415	10207	9166	9561	9484	11302	11158	10858	
50	"Silk"	4077	3700	3538	3017	3421	2755	2626	2441	3376	2661	3157	9094	
66	"Umbrellas, sun umbrellas, walking sticks, seat-sticks, whips, riding-crops and parts thereof"	10487	11261	12420	7249	5346	5278	4535	5233	5381	6646	7421	7596	
80	"Tin and articles thereof"	520	2302	2163	1198	1479	1251	1158	1970	1748	2104	7060	7375	
79	"Zinc and articles thereof"	10846	11410	16812	18549	17599	18906	22620	25257	23786	15921	10946	7153	
67	"Prepared feathers and down and articles made of feathers or of down; artificial flowers; articles ..."	787	1135	1008	1619	2427	1860	2013	2765	2543	2900	3779	3214	
46	"Manufactures of straw, of esparto or of other plaiting materials; basketware and wickerwork"	462	619	725	936	1140	2627	4022	6412	1201	1466	1525	1954	
45	"Cork and articles of cork"	452	330	715	512	661	887	679	436	634	636	648	802	
