Code	Product label	Imported value in 2009	Imported value in 2010	Imported value in 2011	Imported value in 2012	Imported value in 2013	Imported value in 2014	Imported value in 2015	Imported value in 2016	Imported value in 2017	Imported value in 2018	Imported value in 2019	Imported value in 2020	
48	"Paper and paperboard; articles of paper pulp, of paper or of paperboard"	15563130	16539108	17051646	15994575	16317941	16969186	16683809	16236525	16367623	18017445	17258375	15671092	
33	"Essential oils and resinoids; perfumery, cosmetic or toilet preparations"	7229899	8242518	9140577	9755253	10774901	11546996	12074886	12543663	13538552	15071822	14566329	13558175	
07	"Edible vegetables and certain roots and tubers"	5832223	6992850	7780993	7950329	8768945	8953995	9284943	10309868	10287245	10931576	11447020	12781380	
83	"Miscellaneous articles of base metal"	6581301	8244955	9121224	9848332	10425061	10820839	11543228	11584356	12080159	13261604	13063839	12383723	
28	"Inorganic chemicals; organic or inorganic compounds of precious metals, of rare-earth metals, ..."	11827118	15008633	18553609	16764901	15438101	14264020	13149867	11761557	11530668	13329762	12778741	10336778	
82	"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof of base metal"	5509227	7097241	8021453	8646202	9054555	9492938	9794470	9383516	10119466	11208237	10676639	10287164	
42	"Articles of leather; saddlery and harness; travel goods, handbags and similar containers; articles ..."	8556312	10524278	11721894	12730972	13412700	13871141	14303352	13177536	13461602	14349051	13253631	10177221	
21	"Miscellaneous edible preparations"	3100978	3515704	3863748	4152740	4304949	4339798	4392820	4511230	4805136	7942133	8596347	9780681	
19	"Preparations of cereals, flour, starch or milk; pastrycooks' products"	4149527	4622234	5113064	5380812	5664325	5888333	6291762	6893175	7362454	8172483	8799776	9530261	
02	"Meat and edible meat offal"	4140878	4721984	5258149	5781030	6021621	8433931	9361445	7908001	8203503	8427273	8764327	9453185	
20	"Preparations of vegetables, fruit, nuts or other parts of plants"	5653660	5935851	6938875	7238043	7276820	7432227	7720705	7939717	8558855	9299416	8977235	9155121	
74	"Copper and articles thereof"	6406773	8943270	11550838	10335313	10729669	9706143	8411764	7542739	10098842	10957034	9604387	9060351	
68	"Articles of stone, plaster, cement, asbestos, mica or similar materials"	4504549	5062562	5503277	5946884	6696907	7246553	7789918	7820997	8399133	8862636	8497159	8011738	
09	"Coffee, tea, maté and spices"	4887596	5942352	9384949	8352471	7186051	7881468	8176537	7939328	8661451	8027932	8055777	7898043	
70	"Glass and glassware"	4641642	5737945	6106290	6377071	6613678	7446792	7878244	7824466	7931370	8704970	8123242	7473414	
15	"Animal or vegetable fats and oils and their cleavage products; prepared edible fats; animal ..."	3980883	4549092	6861383	6219968	6118468	6154634	6018221	6402909	7183362	7080413	6465645	6853645	
96	"Miscellaneous manufactured articles"	3305963	3862341	4092756	5266534	5465746	5836809	6360790	6703164	6412886	6730665	6796448	6498414	
69	"Ceramic products"	3962698	5059830	5653017	5713728	5954835	6357267	6442258	6275329	6655290	7183400	6987087	6327767	
16	"Preparations of meat, of fish or of crustaceans, molluscs or other aquatic invertebrates"	3719027	4011990	4584104	4669225	4731038	5113541	4958332	4808516	5430258	5982331	5652912	6079000	
31	"Fertilisers"	4385484	7067568	9624939	9268855	8448269	8644423	8394406	5766540	6060853	7140202	7031724	5794657	
