Exporters	Imported value in 2009	Imported value in 2010	Imported value in 2011	Imported value in 2012	Imported value in 2013	Imported value in 2014	Imported value in 2015	Imported value in 2016	Imported value in 2017	Imported value in 2018	Imported value in 2019	Imported value in 2020	
"Pitcairn"	30	4	3	5	3	131	12	6	41	19	25	106	
"French Southern and Antarctic Territories"	147	23	45	30	188	525	15	78	141	27	152	75	
"Tuvalu"	94	23	2	41	26	79	242	59	213	102	158	67	
"St. Pierre and Miquelon"	798	1856	211	3	57	6	188	155	290	16	33	53	
"Norfolk Island"	546	11	273	54	10	18	1227	278	291	742	82	39	
"Western Sahara"	0	0	18	120	724	127	53	89	19	94	269	19	
"Korea, Democratic People's Republic of"	0	9	0	0	0	0	0	0	0	0	0	0	
"Sint Maarten (Dutch part)"	0	0	23955	55270	60316	49885	0	0	0	0	0	0	
"South Sudan"	0	0	0	10	210	72	0	0	0	0	0	0	
"Mayotte"	53	65	20	25	17	0	0	0	0	0	0	0	
"Netherlands Antilles"	486984	0	0	0	0	0	0	0	0	0	0	0	
"Sudan (before 2012)"	10732	8801	11077	0	0	0	0	0	0	0	0	0	
