Exporters	Imported value in 2009	Imported value in 2010	Imported value in 2011	Imported value in 2012	Imported value in 2013	Imported value in 2014	Imported value in 2015	Imported value in 2016	Imported value in 2017	Imported value in 2018	Imported value in 2019	Imported value in 2020	
"World"	38786162	56792378	73960656	67973972	74441745	65735988	59786946	55609530	66702809	65482814	49125030	42355637	
"Brazil"	11819237	17948822	22181035	17676647	19161458	14340808	13005591	13597452	17869324	15697797	10159331	8685285	
"China"	4822599	7649019	10572982	9900612	11312451	10776371	11749039	10467476	12309505	12078804	9258744	8656340	
"United States of America"	5169636	6125400	7810169	8476098	8069314	9107001	7705939	6984637	7535152	7716402	6273636	4414057	
"Paraguay"	698956	436801	515026	450632	530822	498619	409413	711340	1086435	2176720	1646757	2217872	
"Germany"	1993913	3215186	3645600	3698229	3892128	3532730	3127228	3053219	3228345	3351365	2765873	1987983	
"Bolivia, Plurinational State of"	212689	350467	629204	1297331	2844471	2544780	1480893	708709	1246891	1441567	1368970	1030444	
"Italy"	849918	1296733	1482386	1452611	1666022	1637508	1370153	1435769	1674555	1559222	1126337	1007191	
"Thailand"	411194	640045	695916	861457	945947	816058	813960	1132210	1258956	1328604	1184467	999297	
"Mexico"	1163819	1817107	2533167	2250815	2161330	1647287	1822055	1784854	2081261	1877254	1125233	945641	
"India"	368033	566904	631153	652782	776689	698543	724327	700220	823660	888569	809031	800997	
"France"	811124	1529361	1521188	1591401	1739789	1423431	1450005	1447324	1264704	1110312	885267	781898	
"Viet Nam"	76115	111269	190116	155511	199734	196983	329462	350296	621726	636594	658496	754495	
"Japan"	909013	1191260	1414644	1498452	1520911	1376055	1223677	953419	1057501	1082404	895214	723680	
"Spain"	788041	1024147	1395640	1317203	1371192	1077958	957153	920999	1451562	1430822	977231	705567	
"Chile"	664986	885048	1092800	1005805	970456	823529	717239	689451	859432	709895	536586	539469	
"Area Nes"	1720922	2339218	4395778	803157	664819	713780	540470	421210	556236	596099	582614	452889	
"United Kingdom"	375638	486839	664162	614831	582675	543308	558548	471382	497827	569334	583189	420726	
"Switzerland"	401212	485798	544882	552984	511560	533648	688961	517109	579973	580829	404729	420017	
"Uruguay"	348260	586782	605838	517395	519414	463837	407421	465513	482681	496221	435863	374791	
