Code	Product label	Exported value in 2009	Exported value in 2010	Exported value in 2011	Exported value in 2012	Exported value in 2013	Exported value in 2014	Exported value in 2015	Exported value in 2016	Exported value in 2017	Exported value in 2018	Exported value in 2019	Exported value in 2020	
15	"Animal or vegetable fats and oils and their cleavage products; prepared edible fats; animal ..."	39272	67920	93848	34243	43131	51129	83016	35232	39016	62082	79929	17102	
69	"Ceramic products"	78	292	250	202	266	552	459	240	200	322	404	13541	
38	"Miscellaneous chemical products"	5671	10710	13715	14647	17077	12934	12148	17295	14447	13920	15752	12841	
20	"Preparations of vegetables, fruit, nuts or other parts of plants"	2865	1424	1507	7309	8269	5486	10297	8400	13910	9897	12137	11745	
52	"Cotton"	14158	21012	24330	21601	23575	22544	15503	14824	11512	13200	12007	10136	
04	"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere ..."	12859	14298	20960	23683	41004	16806	13924	8418	6785	9395	5903	9873	
64	"Footwear, gaiters and the like; parts of such articles"	3517	3591	1981	1483	1743	2944	3535	2427	2757	5069	5747	9452	
29	"Organic chemicals"	2465	3679	4742	4207	3791	4677	3943	4359	4683	7271	6656	7731	
23	"Residues and waste from the food industries; prepared animal fodder"	7537	9006	13909	3526	12097	14581	12187	6272	4910	8147	7534	7608	
78	"Lead and articles thereof"	0	1003	5043	5632	6471	6510	3121	5712	7778	7194	7954	7326	
40	"Rubber and articles thereof"	1996	1682	2706	3474	3484	3037	4779	4328	5742	7388	5845	6744	
74	"Copper and articles thereof"	8087	8121	11012	11915	21814	20387	15874	11106	10435	6880	7400	6679	
18	"Cocoa and cocoa preparations"	2310	2426	7295	4728	5248	5949	5530	7285	7670	8368	7843	6638	
44	"Wood and articles of wood; wood charcoal"	1869	3054	5537	6795	6071	5363	5281	6526	7579	7954	5684	6246	
