Exporters	Imported value in 2009	Imported value in 2010	Imported value in 2011	Imported value in 2012	Imported value in 2013	Imported value in 2014	Imported value in 2015	Imported value in 2016	Imported value in 2017	Imported value in 2018	Imported value in 2019	Imported value in 2020	
"Montenegro"	2	691	50	58	1034	63	71	1605	42	885	58	211	
"Latvia"	223	1324	35	13771	13022	407	171	51	11	347	36	206	
"Tanzania, United Republic of"	340	200	2118	613	1092	185	233	829	1022	566	135	205	
"Sri Lanka"	61	17	23	3	26	23	39	96	76	106	185	182	
"Venezuela, Bolivarian Republic of"	152	0	23420	63427	183	16314	204	2363	4753	24	523	171	
"Ethiopia"	9	2	12	162	109	382	242	17	30	29	107	160	
"Chad"	0	10	0	155	0	2	0	0	0	0	2	150	
"Azerbaijan"	0	0	80	151	160	308	3556	227	66	1378	1251	144	
"Bangladesh"	2738	913	1166	278	115	42	32	146	14	33	168	119	
"Estonia"	361	928	475	157	895	495	34	3463	19170	57	165	113	
"Ecuador"	203	81	120	0	438	16	19	76	503	26	314	107	
"Madagascar"	1	8	58	57	156	29	12	33	12	173	108	105	
"Zambia"	0	196	55	30	18	10	10	108	51	1	32	84	
"Belize"	0	0	0	0	0	0	0	0	11	197	449	68	
"Armenia"	124	109	428	294	155	483	0	2882	2739	45	259	62	
"Nauru"	0	0	58	0	7	15	2	141	104	0	7	60	
"Macao, China"	23	0	0	0	0	10	2	8	6	59	441	56	
"Iraq"	546	76	49	44	0	0	53	17	0	0	54	46	
"Bosnia and Herzegovina"	0	0	27	20	325	156	314	44	157	67	9	43	
"Syrian Arab Republic"	6394	4369	4018	1591	617	12	30	0	26	95	22	43	
"Eswatini"	18	129	435	2978	448	668	251	2143	2	567	749	42	
"Guinea-Bissau"	1	43	8	57	32	0	81	18	0	9	17	40	
"Cuba"	435	357	214	81	360	98241	5309	228	163	1170	1944	40	
"Saint Helena"	165	0	2	1341	8	0	24	99	5	132	498	36	
"Djibouti"	4	1926	0	0	378	2	4	0	18	242	16	34	
"Honduras"	209	15367	112	83	96	567	1677	10	118	24	14	33	
"Papua New Guinea"	0	0	0	43	23	0	0	192	22	201	59	31	
"Nicaragua"	0	26	17	20	56	113	14	1	13764	9	1	28	
"Brunei Darussalam"	0	0	11	14	2	85	0	91	42	30	109	17	
"Yemen"	9	5	2	0	0	18	5	0	0	0	0	15	
"Andorra"	2	11	0	102	7	1	0	639	0	37	48	14	
"Turks and Caicos Islands"	0	0	0	0	0	0	0	0	19	22	70	13	
"Suriname"	0	0	1	5	0	0	0	521	253	161	73	10	
"Cyprus"	112	31	45	34	706	42	398	44	105	28	0	9	
"Rwanda"	204	0	0	0	2	19	0	0	0	0	705	7	
"Libya, State of"	262	2	27	1	1	0	1	1574	3258	4999	34	5	
"Tonga"	0	0	0	5	68	1	0	0	0	0	16	4	
"Equatorial Guinea"	174	488	24889	20111	1326	2341	2289	5262	8857	106	4072	0	
"Faroe Islands"	31	2	15	0	0	0	0	0	0	0	0	0	
"Falkland Islands (Malvinas)"	0	0	0	0	0	3	0	2	0	0	26	0	
"Gibraltar"	4327	5	0	24736	5	0	1	295	162	0	94	0	
"Lao People's Democratic Republic"	69	0	0	0	1	0	0	0	14	1	0	0	
"Niue"	0	0	378	2144	0	1597	153	0	0	0	0	0	
"Africa not elsewhere specified"	284	492	0	0	0	0	0	0	0	0	0	0	
"St. Pierre and Miquelon"	0	0	0	33	0	0	0	9	0	0	0	0	
"Tokelau"	0	0	0	0	4072	0	0	0	0	0	0	0	
"Ship stores and bunkers"	0	0	0	0	0	114	6823	51	14	118	6	0	
"Belgium"	108066	95999	95128	188367	230113	326395	166988	161494	0	0	0	0	
"Bermuda"	0	0	0	102	0	3	0	0	0	0	0	0	
"Bhutan"	0	0	0	1	93	0	0	0	0	0	4	0	
"Botswana"	0	0	1	105	1	0	0	0	0	0	0	0	
"Burundi"	0	0	0	0	8	19	6	27	0	0	0	0	
"Comoros"	0	9	0	0	0	0	0	0	0	0	0	0	
"Cook Islands"	0	0	1	2	3	32	1	0	0	0	0	0	
"Dominican Republic"	1	7	212	113	225	260	309	403	0	0	0	0	
"El Salvador"	0	0	78	0	0	3	54	8	0	3	6	0	
"French Polynesia"	6	0	0	7	5	0	0	0	0	0	0	0	
"Kiribati"	0	0	0	0	18	0	0	0	0	0	0	0	
"Greenland"	0	0	0	0	0	0	0	5	0	0	0	0	
"Guyana"	0	0	0	0	2	0	0	0	16	34	0	0	
"Jamaica"	4	0	0	0	0	0	12	4	3	1	0	0	
"Lesotho"	0	0	0	10	0	0	0	0	0	0	0	0	
"Maldives"	38	0	0	0	0	0	0	0	0	64	0	0	
"Namibia"	0	7	94	118	51	1	7	2	323	34	21	0	
"Nepal"	0	0	0	0	0	0	1	0	0	4	22	0	
"Netherlands Antilles"	2484	0	0	0	0	0	0	0	0	0	0	0	
"Curaçao"	0	0	0	0	0	0	0	118	0	0	0	0	
"Aruba"	0	0	0	0	0	3843	0	1191	0	0	0	0	
"New Caledonia"	0	0	0	4	0	0	30	0	0	0	0	0	
"Saint Vincent and the Grenadines"	46	283	785	4	0	0	0	42	82	0	0	0	
"Seychelles"	0	0	45	82	0	0	215	95	48	111	22	0	
"Zimbabwe"	0	85	0	26	3	0	0	9	25	7	0	0	
"Sudan (before 2012)"	569	356	29	0	0	0	0	0	0	0	0	0	
